iter	Passed	Remaining
0	68	274508
1	139	278025
2	208	277877
3	275	275677
4	343	274094
5	416	277410
6	488	278463
7	559	279430
8	630	279715
9	700	279450
10	769	279139
11	841	279745
12	908	278689
13	980	279299
14	1049	278725
15	1120	279124
16	1192	279352
17	1260	278911
18	1326	277986
19	1398	278267
20	1470	278590
21	1545	279380
22	1615	279277
23	1682	278805
24	1764	280605
25	1835	280552
26	1908	280813
27	1980	280971
28	2052	280997
29	2122	280937
30	2193	280891
31	2263	280708
32	2334	280678
33	2402	280246
34	2473	280185
35	2543	280018
36	2615	280157
37	2686	280146
38	2759	280246
39	2830	280252
40	2901	280123
41	2967	279667
42	3033	279137
43	3103	278997
44	3174	279043
45	3257	279980
46	3323	279540
47	3393	279396
48	3466	279527
49	3539	279631
50	3613	279774
51	3684	279746
52	3762	280180
53	3833	280103
54	3903	279964
55	3973	279845
56	4041	279545
57	4110	279352
58	4184	279522
59	4252	279244
60	4320	278962
61	4388	278723
62	4458	278603
63	4522	278160
64	4596	278275
65	4670	278418
66	4744	278487
67	4815	278447
68	4883	278218
69	4951	277968
70	5021	277887
71	5093	277891
72	5166	277949
73	5237	277872
74	5307	277770
75	5376	277578
76	5447	277522
77	5517	277451
78	5584	277161
79	5651	276938
80	5722	276849
81	5793	276802
82	5864	276781
83	5937	276786
84	6008	276748
85	6080	276739
86	6150	276624
87	6221	276558
88	6295	276627
89	6367	276631
90	6435	276424
91	6502	276219
92	6574	276205
93	6641	275987
94	6716	276098
95	6784	275917
96	6853	275783
97	6927	275845
98	7001	275889
99	7072	275839
100	7144	275809
101	7215	275753
102	7288	275744
103	7358	275674
104	7429	275607
105	7496	275387
106	7561	275127
107	7632	275048
108	7703	274991
109	7775	274953
110	7848	274963
111	7919	274937
112	7991	274882
113	8062	274817
114	8134	274795
115	8202	274655
116	8273	274591
117	8345	274565
118	8418	274569
119	8488	274445
120	8564	274549
121	8634	274467
122	8707	274449
123	8779	274427
124	8851	274396
125	8923	274368
126	8996	274344
127	9068	274323
128	9138	274234
129	9213	274274
130	9286	274277
131	9357	274200
132	9429	274155
133	9501	274122
134	9574	274111
135	9644	274031
136	9719	274069
137	9789	273976
138	9860	273897
139	9931	273824
140	10000	273689
141	10070	273606
142	10141	273537
143	10213	273487
144	10282	273372
145	10354	273319
146	10427	273321
147	10493	273125
148	10562	272987
149	10628	272807
150	10694	272603
151	10764	272501
152	10835	272442
153	10908	272429
154	10981	272400
155	11049	272271
156	11119	272190
157	11193	272182
158	11264	272111
159	11334	272028
160	11405	271968
161	11474	271836
162	11545	271771
163	11611	271588
164	11683	271542
165	11753	271462
166	11821	271336
167	11896	271346
168	11968	271299
169	12040	271270
170	12113	271233
171	12185	271192
172	12253	271071
173	12321	270935
174	12398	271005
175	12469	270920
176	12539	270833
177	12608	270733
178	12677	270617
179	12748	270552
180	12819	270488
181	12894	270501
182	12965	270433
183	13036	270375
184	13107	270295
185	13172	270108
186	13242	270029
187	13314	269966
188	13385	269899
189	13455	269827
190	13528	269800
191	13598	269701
192	13668	269620
193	13736	269481
194	13804	269364
195	13873	269256
196	13941	269140
197	14015	269129
198	14086	269062
199	14156	268971
200	14226	268879
201	14288	268657
202	14355	268512
203	14422	268364
204	14487	268187
205	14551	268009
206	14617	267838
207	14685	267731
208	14751	267575
209	14821	267484
210	14886	267330
211	14964	267380
212	15028	267204
213	15093	267031
214	15158	266858
215	15224	266705
216	15288	266529
217	15352	266336
218	15415	266145
219	15481	266006
220	15545	265813
221	15608	265630
222	15673	265473
223	15741	265356
224	15806	265192
225	15872	265054
226	15936	264876
227	16003	264759
228	16072	264662
229	16136	264496
230	16199	264316
231	16264	264151
232	16328	263995
233	16392	263817
234	16457	263677
235	16522	263520
236	16585	263341
237	16653	263237
238	16721	263138
239	16786	262989
240	16852	262855
241	16917	262706
242	16983	262577
243	17047	262425
244	17113	262291
245	17181	262188
246	17246	262051
247	17312	261916
248	17380	261828
249	17444	261662
250	17511	261554
251	17577	261432
252	17642	261290
253	17706	261137
254	17772	261006
255	17837	260872
256	17905	260773
257	17971	260656
258	18037	260535
259	18101	260385
260	18165	260237
261	18231	260117
262	18300	260027
263	18365	259895
264	18433	259808
265	18498	259674
266	18565	259563
267	18629	259418
268	18694	259287
269	18761	259182
270	18825	259043
271	18890	258915
272	18953	258754
273	19020	258653
274	19083	258489
275	19148	258366
276	19212	258224
277	19276	258081
278	19344	258000
279	19410	257879
280	19476	257770
281	19540	257623
282	19604	257494
283	19670	257379
284	19733	257229
285	19795	257064
286	19861	256952
287	19926	256825
288	19992	256717
289	20058	256611
290	20121	256468
291	20187	256358
292	20253	256248
293	20317	256109
294	20382	255996
295	20449	255900
296	20515	255789
297	20581	255681
298	20648	255581
299	20715	255487
300	20782	255395
301	20850	255316
302	20917	255222
303	20982	255107
304	21045	254966
305	21114	254887
306	21180	254783
307	21246	254679
308	21311	254570
309	21375	254440
310	21441	254327
311	21507	254232
312	21576	254164
313	21641	254045
314	21709	253964
315	21774	253857
316	21844	253791
317	21910	253693
318	21977	253599
319	22039	253451
320	22105	253356
321	22171	253255
322	22238	253166
323	22305	253069
324	22370	252956
325	22434	252834
326	22501	252748
327	22566	252634
328	22632	252534
329	22698	252430
330	22761	252302
331	22827	252207
332	22894	252113
333	22958	251993
334	23022	251875
335	23088	251775
336	23153	251665
337	23218	251551
338	23282	251432
339	23345	251307
340	23409	251185
341	23473	251074
342	23538	250966
343	23604	250867
344	23673	250806
345	23739	250703
346	23803	250588
347	23869	250487
348	23933	250375
349	23999	250280
350	24066	250191
351	24130	250079
352	24195	249973
353	24259	249860
354	24325	249763
355	24390	249656
356	24455	249553
357	24521	249464
358	24586	249358
359	24650	249246
