feature_fraction,bagging_fraction,lambda_l2,learning_rate,num_leaves,min_data_in_leaf,brier,elapsed_sec
0.5,0.8,10.0,0.005,255,800,0.24391455238000467,379.391526222229
0.5,0.8,10.0,0.005,255,1200,0.24392266868177498,390.9264349937439
0.5,0.8,10.0,0.005,255,1600,0.24393246797577892,348.8032612800598
0.5,0.8,10.0,0.005,320,800,0.24391298670609815,333.61863589286804
0.5,0.8,10.0,0.005,320,1200,0.2439200181924929,312.66354274749756
0.5,0.8,10.0,0.005,320,1600,0.24393332273038384,346.9704270362854
0.5,0.8,10.0,0.005,400,800,0.24391340283212706,283.52070021629333
0.5,0.8,10.0,0.005,400,1200,0.24392116528190771,320.75684809684753
0.5,0.8,10.0,0.005,400,1600,0.24393332273038384,333.2742426395416
0.5,0.8,10.0,0.0075,255,800,0.24393413478990394,217.17540001869202
0.5,0.8,10.0,0.0075,255,1200,0.24393394137782295,220.63060474395752
0.5,0.8,10.0,0.0075,255,1600,0.24394813408059265,213.33503484725952
0.5,0.8,10.0,0.0075,320,800,0.24392734663809915,210.96494460105896
0.5,0.8,10.0,0.0075,320,1200,0.24393770947598287,199.5342435836792
0.5,0.8,10.0,0.0075,320,1600,0.24393930843355344,212.68436098098755
0.5,0.8,10.0,0.0075,400,800,0.24391801375356903,193.2727324962616
0.5,0.8,10.0,0.0075,400,1200,0.24393660791647478,198.31449103355408
0.5,0.8,10.0,0.0075,400,1600,0.24393930843355344,222.1206452846527
0.5,0.8,10.0,0.01,255,800,0.2439378923035689,137.73661398887634
0.5,0.8,10.0,0.01,255,1200,0.24394691782796327,158.5557291507721
0.5,0.8,10.0,0.01,255,1600,0.243961690056607,172.02669024467468
0.5,0.8,10.0,0.01,320,800,0.24393861392534413,143.6207718849182
0.5,0.8,10.0,0.01,320,1200,0.24394421468576252,153.96501541137695
0.5,0.8,10.0,0.01,320,1600,0.24395856027574014,152.99913048744202
0.5,0.8,10.0,0.01,400,800,0.24393788437810685,156.72460007667542
0.5,0.8,10.0,0.01,400,1200,0.24395043707745376,165.58782625198364
0.5,0.8,10.0,0.01,400,1600,0.24395856027574014,159.90387105941772
