learning_rate,num_leaves,min_data_in_leaf,brier,elapsed_sec
0.02,31,100,0.24423812088023228,137.1850905418396
0.02,31,200,0.24420951148020378,149.17990493774414
0.02,31,400,0.24419772345883065,152.40018773078918
0.02,63,100,0.24416927433707233,86.51458835601807
0.02,63,200,0.24414669878394804,92.86400365829468
0.02,63,400,0.244119180277492,97.99516701698303
0.02,127,100,0.24410208017026264,80.38911056518555
0.02,127,200,0.2440854063145649,79.05282521247864
0.02,127,400,0.24405207889276045,87.55329751968384
0.03,31,100,0.24430424644956986,72.9410514831543
0.03,31,200,0.2442422572015066,90.46590614318848
0.03,31,400,0.24424106212826222,94.27490496635437
0.03,63,100,0.24420247478910476,59.909098625183105
0.03,63,200,0.24421145559947094,60.811448097229004
0.03,63,400,0.24416044627899616,80.13830065727234
0.03,127,100,0.24417293857678993,56.44272708892822
0.03,127,200,0.24415146250161363,59.38971781730652
0.03,127,400,0.2441035966151825,62.61961269378662
0.05,31,100,0.24434925543756109,51.20651578903198
0.05,31,200,0.2443516744046758,53.41916632652283
0.05,31,400,0.24430937327369062,52.9240984916687
0.05,63,100,0.24430256122550056,40.88953995704651
0.05,63,200,0.24429590546752175,41.63321232795715
0.05,63,400,0.24426437561847747,60.25981020927429
0.05,127,100,0.24426491009782828,37.46232080459595
0.05,127,200,0.24421354137989526,36.62441396713257
0.05,127,400,0.2442087544790959,40.45107364654541
