learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l2,brier,elapsed_sec
0.02,127,400,0.6,0.6,1.0,0.24411006225822807,86.46288061141968
0.02,127,400,0.6,0.6,5.0,0.24410030265193233,85.52467846870422
0.02,127,400,0.6,0.6,10.0,0.24409245548105227,86.61661720275879
0.02,127,400,0.6,0.8,1.0,0.24404277281286943,100.62075281143188
0.02,127,400,0.6,0.8,5.0,0.24404748148327854,88.1924364566803
0.02,127,400,0.6,0.8,10.0,0.2440266231424387,101.44882225990295
0.02,127,400,0.6,1.0,1.0,0.24408858311741066,82.24528980255127
0.02,127,400,0.6,1.0,5.0,0.24409506372060896,86.7768223285675
0.02,127,400,0.6,1.0,10.0,0.24408157057419458,90.83442425727844
0.02,127,400,0.8,0.6,1.0,0.24410719880698514,89.5584979057312
0.02,127,400,0.8,0.6,5.0,0.24410765177936364,84.89039421081543
0.02,127,400,0.8,0.6,10.0,0.24410063325056316,86.02592945098877
0.02,127,400,0.8,0.8,1.0,0.24404714872032296,108.23439931869507
0.02,127,400,0.8,0.8,5.0,0.24405207889276045,101.03827691078186
0.02,127,400,0.8,0.8,10.0,0.244056495687554,96.37306308746338
0.02,127,400,0.8,1.0,1.0,0.24411298388242572,80.48905515670776
0.02,127,400,0.8,1.0,5.0,0.24411505333164807,96.90116000175476
0.02,127,400,0.8,1.0,10.0,0.24412378894370845,88.84006071090698
0.02,127,400,1.0,0.6,1.0,0.2441045706622692,179.00642895698547
0.02,127,400,1.0,0.6,5.0,0.24412094827541186,519.4564895629883
0.02,127,400,1.0,0.6,10.0,0.24410276727573516,93.63838791847229
0.02,127,400,1.0,0.8,1.0,0.24406931200904025,87.55472230911255
0.02,127,400,1.0,0.8,5.0,0.24407043065286882,90.87901401519775
0.02,127,400,1.0,0.8,10.0,0.24407334704822978,97.07922053337097
0.02,127,400,1.0,1.0,1.0,0.2441473057819909,90.82391619682312
0.02,127,400,1.0,1.0,5.0,0.24417221236194217,77.36939573287964
0.02,127,400,1.0,1.0,10.0,0.24416383941375686,100.25276184082031
