eta,max_depth,min_child_weight,brier,elapsed_sec
0.02,6,10,0.24429569419817215,91.28952717781067
0.02,6,20,0.24428517504567976,87.12938451766968
0.02,6,40,0.24427309157450464,95.81125283241272
0.02,8,10,0.24424763140700087,59.04774069786072
0.02,8,20,0.244224226169002,63.59900236129761
0.02,8,40,0.2441937193636657,67.71154236793518
0.02,10,10,0.2442840129503234,62.141066789627075
0.02,10,20,0.24422112127038956,60.477288246154785
0.02,10,40,0.24418207903243574,59.63349509239197
0.03,6,10,0.24432809617416848,64.95523428916931
0.03,6,20,0.24431541321778233,61.89030742645264
0.03,6,40,0.24430849834140472,63.231874227523804
0.03,8,10,0.24429422563235115,44.17902421951294
0.03,8,20,0.24425705058338773,44.68406915664673
0.03,8,40,0.2442458345950508,48.413150787353516
0.03,10,10,0.24433262985868423,46.216002464294434
0.03,10,20,0.2442943810532735,43.757211446762085
0.03,10,40,0.24423823578801385,46.4952929019928
0.05,6,10,0.24437556362184248,39.265621185302734
0.05,6,20,0.24437590559314504,38.9329137802124
0.05,6,40,0.24434993051650808,40.485766887664795
0.05,8,10,0.24435733898950784,31.277336359024048
0.05,8,20,0.24435549191955847,30.761647701263428
0.05,8,40,0.24431126803407235,30.895448684692383
0.05,10,10,0.244457199526289,37.982980728149414
0.05,10,20,0.24441400777267805,36.31257343292236
0.05,10,40,0.24434273936840833,35.80642819404602
