eta,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,brier,elapsed_sec
0.02,10,40.0,0.6,0.6,1.0,0.2442227635651753,60.992579221725464
0.02,10,40.0,0.6,0.6,5.0,0.2442151101799176,59.973785161972046
0.02,10,40.0,0.6,0.6,10.0,0.2441846457009353,64.61853456497192
0.02,10,40.0,0.6,0.8,1.0,0.24424486432324669,59.77065467834473
0.02,10,40.0,0.6,0.8,5.0,0.24422017631397522,59.87949800491333
0.02,10,40.0,0.6,0.8,10.0,0.2441922139371087,58.885496616363525
0.02,10,40.0,0.6,1.0,1.0,0.24424875880169247,57.31283783912659
0.02,10,40.0,0.6,1.0,5.0,0.24424061373176928,61.78801774978638
0.02,10,40.0,0.6,1.0,10.0,0.2442224561777842,65.41334819793701
0.02,10,40.0,0.8,0.6,1.0,0.24417120169087342,57.77882623672485
0.02,10,40.0,0.8,0.6,5.0,0.24415450854371046,59.69602656364441
0.02,10,40.0,0.8,0.6,10.0,0.24414010446947151,64.74107432365417
0.02,10,40.0,0.8,0.8,1.0,0.24419592799103487,59.3670916557312
0.02,10,40.0,0.8,0.8,5.0,0.24418207903243574,59.09983587265015
0.02,10,40.0,0.8,0.8,10.0,0.24416543534009724,61.21655511856079
0.02,10,40.0,0.8,1.0,1.0,0.24419733254823336,59.72625494003296
0.02,10,40.0,0.8,1.0,5.0,0.24418865619193014,60.56353497505188
0.02,10,40.0,0.8,1.0,10.0,0.2441926363022802,60.489643573760986
0.02,10,40.0,1.0,0.6,1.0,0.244193659507645,58.50991702079773
0.02,10,40.0,1.0,0.6,5.0,0.24419578203526596,57.39020824432373
0.02,10,40.0,1.0,0.6,10.0,0.244173785240023,62.89747881889343
0.02,10,40.0,1.0,0.8,1.0,0.24422816437215325,56.31964659690857
0.02,10,40.0,1.0,0.8,5.0,0.24421570568694517,60.00848412513733
0.02,10,40.0,1.0,0.8,10.0,0.2441954539812501,61.652554750442505
0.02,10,40.0,1.0,1.0,1.0,0.24431839352945534,54.8473436832428
0.02,10,40.0,1.0,1.0,5.0,0.2442830657147681,55.30766797065735
0.02,10,40.0,1.0,1.0,10.0,0.24428542170225614,56.329352378845215
