pitcher_id,pitcher_trackman_id,n_seasons_seen,n_seasons_agree,agree_rate,total_n_train
20700,99445,2,2,1.0,959
21372,72523,2,2,1.0,2297
21432,73801,2,2,1.0,1345
21549,74454,2,2,1.0,2671
21558,74359,2,2,1.0,659
21830,76858,2,2,1.0,993
21916,77446,5,5,1.0,9800
21991,78517,4,4,1.0,1564
22118,79847,3,3,1.0,3252
22131,79229,2,2,1.0,4957
22143,79358,4,4,1.0,1938
22180,79293,2,2,1.0,897
22293,61643,4,4,1.0,4910
22622,63914,2,2,1.0,523
22717,65343,3,3,1.0,2228
22721,64017,3,3,1.0,1504
22729,65048,4,4,1.0,5197
22743,65062,5,5,1.0,4825
22776,65042,2,2,1.0,580
22834,66291,4,4,1.0,7081
22869,61396,2,2,1.0,295
22890,65320,3,3,1.0,5825
22905,63512,3,3,1.0,1771
22922,64047,5,5,1.0,1652
23092,63894,2,2,1.0,1505
23110,62056,2,2,1.0,1173
23112,64768,3,3,1.0,3259
23157,66047,2,2,1.0,305
23258,67956,2,2,1.0,385
23288,67391,3,3,1.0,3072
23307,67603,4,4,1.0,5595
23312,67828,3,3,1.0,2222
23347,67539,3,3,1.0,5030
23518,68419,4,4,1.0,7728
23568,68703,2,2,1.0,881
23632,63638,3,3,1.0,2140
23695,69745,3,3,1.0,2145
23696,518445,2,2,1.0,4253
23737,74513,2,2,1.0,544
23745,518852,4,4,1.0,9614
23761,69839,2,2,1.0,1451
23767,69940,4,4,1.0,11644
23781,593417,2,2,1.0,5562
23784,534648,3,3,1.0,2462
23786,69041,3,3,1.0,2348
23790,69068,2,2,1.0,696
23849,594902,3,3,1.0,3426
23893,50556,4,4,1.0,3223
23964,50995,2,2,1.0,310
23991,50036,3,3,1.0,525
24038,51516,2,2,1.0,1982
24053,521655,2,2,1.0,5295
24063,51454,3,3,1.0,2492
24076,51948,2,2,1.0,1399
24205,52903,2,2,1.0,867
24222,656212,2,2,1.0,5702
24224,52204,2,2,1.0,751
24240,52701,2,2,1.0,2663
24252,52060,2,2,1.0,2172
24283,544150,2,2,1.0,4840
24300,605138,2,2,1.0,4085
24310,663399,2,2,1.0,2832
20938,70425,1,1,1.0,638
21095,69158,1,1,1.0,263
21279,61214,1,1,1.0,585
